Comparison,Forecast_Horizon,Seeds_Used,DM_p_value,Paired_t_p_value,Bootstrap_95CI_lo,Bootstrap_95CI_hi,CI_Definition,Significant_at_0.05,Notes
Attention_vs_LSTM,2,42,9.472914e-01,9.401524e-01,-0.0227,0.0229,RMSE_attn - RMSE_lstm,No,HAC lag=1 (h=2); from forecast_cache.parquet seed-42 CUDA+autocast preds (no re-inference)
Attention_vs_LSTM,2,13,4.471505e-05,2.634096e-06,0.0298,0.0719,RMSE_attn - RMSE_lstm,Yes,HAC lag=1 (h=2); CUDA+autocast inference from lstm_h2_seed13.pt + cnn_lstm_attention_h2_seed13.pt; multi-seed consistency check (Phase 4 follow-up)
Attention_vs_LSTM,2,123,8.884064e-02,4.763678e-02,0.0003,0.0497,RMSE_attn - RMSE_lstm,No,HAC lag=1 (h=2); CUDA+autocast inference from lstm_h2_seed123.pt + cnn_lstm_attention_h2_seed123.pt; multi-seed consistency check (Phase 4 follow-up)
Attention_vs_LSTM,3,42,7.864388e-03,6.641532e-04,-0.0637,-0.0153,RMSE_attn - RMSE_lstm,Yes,HAC lag=2 (h=3); from forecast_cache.parquet seed-42 CUDA+autocast preds (no re-inference)
Attention_vs_LSTM,3,13,1.088985e-13,2.995654e-23,0.0813,0.1187,RMSE_attn - RMSE_lstm,Yes,HAC lag=2 (h=3); CUDA+autocast inference from lstm_h3_seed13.pt + cnn_lstm_attention_h3_seed13.pt; discrepancy check (Phase 4 follow-up)
Attention_vs_LSTM,3,123,7.367006e-11,2.054928e-16,0.0571,0.0928,RMSE_attn - RMSE_lstm,Yes,HAC lag=2 (h=3); CUDA+autocast inference from lstm_h3_seed123.pt + cnn_lstm_attention_h3_seed123.pt; discrepancy check (Phase 4 follow-up)
Attention_vs_LSTM,4,42,1.688542e-01,4.870880e-02,-0.0013,0.0547,RMSE_attn - RMSE_lstm,No,HAC lag=3 (h=4); from forecast_cache.parquet seed-42 CUDA+autocast preds (no re-inference)
Attention_vs_LSTM,4,13,2.636732e-01,9.296881e-02,-0.0518,0.0050,RMSE_attn - RMSE_lstm,No,HAC lag=3 (h=4); CUDA+autocast inference from lstm_h4_seed13.pt + cnn_lstm_attention_h4_seed13.pt; multi-seed consistency check (Phase 4 follow-up)
Attention_vs_LSTM,4,123,6.012618e-14,9.700882e-25,0.1075,0.1563,RMSE_attn - RMSE_lstm,Yes,HAC lag=3 (h=4); CUDA+autocast inference from lstm_h4_seed123.pt + cnn_lstm_attention_h4_seed123.pt; multi-seed consistency check (Phase 4 follow-up)
Temporal_vs_LSTM,1,42,1.006211e-02,1.006210e-02,0.0142,0.1166,RMSE_temp - RMSE_lstm,Yes,"HAC lag=0 (h=1); inference-only from seed-42 ckpts; build_ablation_study.py"
Temporal_vs_LSTM,2,42,4.417199e-04,4.667487e-05,0.0232,0.0640,RMSE_temp - RMSE_lstm,Yes,"HAC lag=1 (h=2); inference-only from seed-42 ckpts; build_ablation_study.py"
Temporal_vs_LSTM,3,42,1.313207e-02,8.255352e-04,-0.0559,-0.0150,RMSE_temp - RMSE_lstm,Yes,"HAC lag=2 (h=3); inference-only from seed-42 ckpts; build_ablation_study.py"
Temporal_vs_LSTM,4,42,4.475524e-13,1.096770e-30,0.1472,0.2029,RMSE_temp - RMSE_lstm,Yes,"HAC lag=3 (h=4); inference-only from seed-42 ckpts; build_ablation_study.py"
